"nace2d","n_firm_years","n_distinct_firms","p50","p90","p99","mean","sales_wmean"
"19",5,3,0.00184850491967277,0.0898693950467184,0.0906991928258348,0.0367824784168667,0.00532084970416634
"23",68,34,0.00923805608777264,0.0443033949106529,0.919348474735423,0.0491982175565524,0.0215387178248054
"20",91,46,0.00124612265131934,0.0215439263118254,0.0546465556858657,0.00830784074728833,0.00507876370885313
"17",12,6,0.00428021330549078,0.0214901906609547,0.0233062223979219,0.00762435696254279,0.00776915796889903
"38",2,1,0.0112996095749352,0.0115519713470122,0.0116087527457295,0.0112996095749352,0.0112584711762428
"46",2,1,0.00919342174281079,0.0111700308971302,0.011614767956852,0.00919342174281079,0.00870941398989481
"81",2,1,0.00937529728830909,0.0093787065156671,0.00937947359182266,0.00937529728830909,0.00937549228436096
"49",2,1,0.00546705432560399,0.00809484624646738,0.00868609942866164,0.00546705432560399,0.00388304563334616
"22",4,2,0.00558157008610554,0.00639315056854396,0.00645659856023555,0.00548460105840571,0.00582549441950833
"13",13,7,0.00141856989124256,0.00426708030566583,0.00568407347932462,0.00206699248274505,0.00127153111254024
"43",2,1,0.0036939435922432,0.00391963315500987,0.00397041330663237,0.0036939435922432,0.00370692580618099
"25",4,2,0.00301173417868546,0.00347028028138524,0.00355698963664677,0.00239752309170613,0.00268968227851664
"52",2,1,0.00293744477870128,0.00314939903757114,0.00319708874581687,0.00293744477870128,0.00286905302753766
"11",5,3,0.00138293856126133,0.00307486139959171,0.00377898176700303,0.00142829667570992,0.00144481048158586
"24",18,9,0.000543366671224322,0.00248551093825549,0.00364202802302015,0.00101196827999737,0.00068982978405487
"28",2,1,0.00165843670324628,0.00198113216141094,0.00205373863949799,0.00165843670324628,0.00163999083903138
"21",7,4,0.000104426247257987,0.000947030733210027,0.00138998778212475,0.000378362477004556,0.000138330068968421
"42",2,1,0.000604423081999945,0.000763526410820611,0.000799324659805261,0.000604423081999945,0.000637122198521167
"29",4,2,7.78285618060494e-05,0.000283833794007058,0.00036256765593198,0.000131743246606156,0.000105872850428566
"16",2,1,0,0,0,0,0
